,RankTHE,Name,No. of FTE students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1540,1501+,Kansai University,"30,335",12.3,3%,41 : 59,10.4–18.3,17.4,8.3,6.5,38.4,28.2
1541,1501+,University of Karachi,"43,740",36.3,0%,57 : 43,10.4–18.3,14.9,10.8,9.4,37.0,37.5
1542,1501+,Karadeniz Technical University,"34,824",25.8,4%,44 : 56,10.4–18.3,14.3,9.5,19.7,40.0,19.6
1543,1501+,Kasetsart University,"68,589",18.4,1%,63 : 37,10.4–18.3,19.2,11.4,13.4,42.0,32.2
1544,1501+,Kirikkale University,"27,790",46.2,2%,49 : 51,10.4–18.3,17.4,17.6,16.2,36.9,17.1
1545,1501+,Kocaeli University,"67,200",45.7,3%,41 : 59,10.4–18.3,13.4,8.8,14.4,39.2,22.4
1546,1501+,Kochi University,"5,480",8.2,1%,44 : 56,10.4–18.3,20.7,11.3,17.3,41.1,23.9
1547,1501+,Kogakuin University,"6,317",17.5,1%,19 : 81,10.4–18.3,16.4,11.0,15.0,41.7,20.8
1548,1501+,Kookmin University,"17,238",12.0,11%,49 : 51,10.4–18.3,19.8,11.2,15.6,40.3,31.5
1549,1501+,University of Kufa,"28,175",12.3,0%,65 : 35,10.4–18.3,17.3,8.3,18.3,37.7,28.8
1550,1501+,Kwansei Gakuin University,"25,537",24.8,4%,49 : 51,10.4–18.3,15.5,9.2,17.3,38.0,35.1
1551,1501+,Kyoto Sangyo University,"12,110",21.1,2%,34 : 66,10.4–18.3,14.6,8.5,16.0,37.0,38.6
1552,1501+,Kyoto Institute of Technology,"3,958",13.4,6%,29 : 71,10.4–18.3,21.8,16.0,5.0,42.9,28.8
1553,1501+,Ladoke Akintola University of Technology,"25,953",53.1,0%,49 : 51,10.4–18.3,15.4,11.2,17.9,43.0,27.1
1554,1501+,Latvia University of Life Sciences and Technologies,"3,891",24.9,4%,52 : 48,10.4–18.3,16.7,20.1,5.5,39.1,25.9
1555,1501+,University of Łódź,"22,273",16.7,8%,63 : 37,10.4–18.3,17.7,15.5,13.8,37.2,30.1
1556,1501+,Lodz University of Technology,"12,642",17.8,4%,39 : 61,10.4–18.3,16.6,14.9,17.8,43.6,25.5
1557,1501+,Lucian Blaga University of Sibiu,"13,154",16.5,2%,60 : 40,10.4–18.3,17.8,13.2,19.5,37.5,23.1
1558,1501+,University of Macerata (UNIMC),"10,561",23.7,5%,76 : 24,10.4–18.3,16.8,18.0,7.0,37.0,31.4
1559,1501+,Mackenzie Presbyterian University,"27,482",27.3,0%,59 : 41,10.4–18.3,17.4,10.0,10.4,37.6,24.3
1560,1501+,Mahasarakham University,"37,351",30.0,1%,57 : 43,10.4–18.3,23.2,8.4,7.3,37.9,23.0
1561,1501+,Mapúa University,"6,576",23.9,1%,36 : 64,10.4–18.3,13.8,13.5,8.5,36.9,16.9
1562,1501+,Maria Curie-Skłodowska University (UMCS),"18,263",12.6,9%,68 : 32,10.4–18.3,17.6,16.8,12.0,37.2,30.5
1563,1501+,Matej Bel University,"6,987",14.2,8%,71 : 29,10.4–18.3,18.8,13.3,7.4,37.5,45.0
1564,1501+,Medical University of Silesia in Katowice,"10,267",7.6,5%,74 : 26,10.4–18.3,22.8,9.1,18.5,39.0,23.0
1565,1501+,Meiji University,"33,090",34.2,5%,35 : 65,10.4–18.3,17.0,11.4,6.6,41.3,27.4
1566,1501+,Meijo University,"15,043",30.3,1%,34 : 66,10.4–18.3,15.0,11.1,9.8,38.0,26.2
1567,1501+,Universidad Michoacana de San Nicolás de Hidalgo,"41,022",22.9,1%,46 : 54,10.4–18.3,15.9,8.5,7.8,37.5,27.0
1568,1501+,Ming Chuan University,"18,024",21.7,10%,61 : 39,10.4–18.3,14.3,10.8,15.5,37.4,33.9
1569,1501+,University of Miyazaki,"5,456",7.5,3%,35 : 65,10.4–18.3,22.5,10.9,17.4,39.9,24.7
1570,1501+,University Mohamed Boudiaf of M’Sila,"38,267",19.4,1%,26 : 74,10.4–18.3,16.5,7.8,8.5,37.7,31.4
1571,1501+,University of Montenegro,"16,793",24.3,2%,57 : 43,10.4–18.3,13.0,11.5,14.6,44.1,46.0
1572,1501+,Université Mouloud Mammeri de Tizi-Ouzou,"41,107",18.1,0%,66 : 34,10.4–18.3,21.9,7.5,6.3,36.9,44.9
1573,1501+,Muroran Institute of Technology,"3,397",20.3,6%,14 : 86,10.4–18.3,15.5,11.0,17.2,42.7,34.1
1574,1501+,Mustansiriyah University,"33,105",7.1,1%,51 : 49,10.4–18.3,21.7,8.2,18.2,40.0,28.7
1575,1501+,Universidad Nacional del Litoral,"47,336",30.0,0%,60 : 40,10.4–18.3,13.5,8.9,14.6,37.9,27.9
1576,1501+,Universidad Nacional Mayor de San Marcos,"47,716",26.1,0%,71 : 29,10.4–18.3,15.3,10.4,4.5,36.9,37.2
1577,1501+,Nagoya Institute of Technology,"5,774",16.3,5%,17 : 83,10.4–18.3,17.1,19.6,7.5,49.2,26.7
1578,1501+,Naresuan University,"24,827",16.7,1%,66 : 34,10.4–18.3,15.7,9.2,13.3,41.3,31.3
1579,1501+,National Changhua University of Education,"8,515",23.2,4%,49 : 51,10.4–18.3,21.2,16.5,7.8,39.3,24.9
1580,1501+,National Chiayi University,"12,059",26.3,3%,49 : 51,10.4–18.3,15.2,13.1,13.2,64.0,19.5
1581,1501+,National Chi Nan University,"5,773",14.6,11%,54 : 46,10.4–18.3,18.3,14.9,7.3,50.7,30.8
1582,1501+,National University of Córdoba,"167,063",16.2,1%,64 : 36,10.4–18.3,18.3,10.2,19.4,37.4,35.3
1583,1501+,National Formosa University,"11,134",19.0,1%,22 : 78,10.4–18.3,14.3,14.3,6.5,41.6,16.5
1584,1501+,National Ilan University,"5,476",23.0,2%,36 : 64,10.4–18.3,14.6,13.3,16.6,42.0,32.5
1585,1501+,National University of Kaohsiung,"5,741",24.0,4%,41 : 59,10.4–18.3,14.4,15.3,5.2,41.6,27.8
1586,1501+,National Kaohsiung University of Science and Technology,"28,128",28.2,2%,36 : 64,10.4–18.3,15.7,13.8,15.0,48.6,22.8
1587,1501+,National Taipei University,"8,344",16.0,5%,54 : 46,10.4–18.3,18.5,13.7,14.2,38.1,28.5
1588,1501+,National United University,"7,418",20.7,1%,32 : 68,10.4–18.3,13.9,13.1,21.6,39.4,20.0
1589,1501+,University of Novi Sad,"47,669",15.3,1%,57 : 43,10.4–18.3,16.7,11.1,15.7,42.2,35.8
1590,1501+,Ochanomizu University,"2,743",14.9,6%,100 : 0,10.4–18.3,28.6,13.9,7.7,39.4,26.8
1591,1501+,University of Oradea,"15,840",17.2,6%,55 : 45,10.4–18.3,14.8,8.9,16.3,37.1,35.2
1592,1501+,Osaka Institute of Technology,"7,160",30.3,1%,13 : 87,10.4–18.3,14.7,12.2,22.9,41.3,24.1
1593,1501+,Osaka Medical and Pharmaceutical University,"3,094",5.5,1%,59 : 41,10.4–18.3,25.0,10.8,14.8,38.7,16.5
1594,1501+,Ovidius University of Constanța,"18,344",12.7,6%,47 : 53,10.4–18.3,16.2,8.6,3.1,37.0,23.4
1595,1501+,Universitas Padjadjaran,"35,873",12.1,1%,60 : 40,10.4–18.3,22.5,11.0,17.0,41.8,26.1
1596,1501+,Universidad Panamericana (UP),"14,504",8.5,1%,48 : 52,10.4–18.3,20.5,9.1,8.7,37.0,36.5
1597,1501+,University of Pardubice,"7,606",14.0,7%,56 : 44,10.4–18.3,18.6,16.7,5.7,37.3,34.9
1598,1501+,University of Passo Fundo (UPF),"11,671",24.7,0%,58 : 42,10.4–18.3,16.9,10.1,23.1,37.0,23.9
1599,1501+,Pedagogical and Technological University of Colombia,"32,037",15.4,0%,54 : 46,10.4–18.3,14.5,7.6,6.1,37.0,35.2
1600,1501+,Polytechnic University of Bucharest,"30,287",24.4,4%,36 : 64,10.4–18.3,16.6,11.8,10.2,37.7,22.1
1601,1501+,Polytechnic University of Timişoara,"13,081",21.5,2%,37 : 63,10.4–18.3,14.9,10.6,20.3,38.1,19.9
1602,1501+,Pontifical Catholic University of Minas Gerais,"39,142",34.0,0%,56 : 44,10.4–18.3,17.6,9.4,6.8,37.2,21.3
1603,1501+,Universidad Pontificia Bolivariana (UPB),"11,497",11.5,2%,55 : 45,10.4–18.3,18.7,10.6,4.8,39.3,36.4
1604,1501+,Pontificia Universidad Católica del Ecuador,"23,170",15.0,1%,57 : 43,10.4–18.3,14.8,8.0,18.4,36.9,52.7
1605,1501+,Prague University of Economics and Business,"13,700",28.1,27%,52 : 48,10.4–18.3,16.4,14.0,6.8,37.7,47.0
1606,1501+,Recep Tayyip Erdoğan University,"13,468",19.2,4%,53 : 47,10.4–18.3,15.6,8.8,16.9,37.1,20.1
1607,1501+,University of Rijeka,"13,155",15.6,2%,58 : 42,10.4–18.3,17.1,15.9,14.9,39.3,31.3
1608,1501+,Ryukoku University,"15,692",27.7,2%,37 : 63,10.4–18.3,15.6,10.0,11.7,37.5,24.9
1609,1501+,Rzeszów University of Technology,"11,259",12.1,1%,38 : 62,10.4–18.3,16.9,9.3,24.0,40.5,21.3
1610,1501+,University of La Sabana,"12,123",15.5,2%,57 : 43,10.4–18.3,17.0,10.1,12.6,38.0,42.6
1611,1501+,Saitama University,"8,457",14.9,6%,33 : 67,10.4–18.3,19.7,13.5,13.3,39.0,34.9
1612,1501+,Satbayev University,"9,243",9.7,4%,38 : 62,10.4–18.3,19.6,9.3,5.0,41.1,67.9
1613,1501+,University of Science and Technology of Oran Mohamed-Boudiaf,"19,115",6.9,1%,49 : 51,10.4–18.3,21.6,7.7,7.8,37.0,32.3
1614,1501+,SGH Warsaw School of Economics,"9,092",17.7,12%,50 : 50,10.4–18.3,16.9,13.2,10.3,37.8,32.3
1615,1501+,Shimane University,"6,055",7.7,3%,38 : 62,10.4–18.3,21.2,11.3,17.0,40.0,24.9
1616,1501+,Shizuoka University,"9,926",14.2,4%,29 : 71,10.4–18.3,18.7,14.8,10.6,43.3,32.0
1617,1501+,University of Shizuoka,"3,125",11.9,3%,61 : 39,10.4–18.3,19.5,12.8,10.2,41.5,22.8
1618,1501+,University of Silesia in Katowice,"19,962",12.0,3%,67 : 33,10.4–18.3,19.4,12.3,10.1,37.0,26.9
1619,1501+,Silpakorn University,"24,310",21.0,1%,69 : 31,10.4–18.3,18.4,10.9,16.7,49.4,26.1
1620,1501+,University of Sistan and Baluchestan,"9,109",20.3,1%,57 : 43,10.4–18.3,16.8,11.5,21.9,37.4,20.1
1621,1501+,Sivas Cumhuriyet University,"44,942",34.8,4%,49 : 51,10.4–18.3,18.2,9.3,17.8,37.3,21.1
1622,1501+,Slovak University of Technology in Bratislava,"10,976",8.8,5%,28 : 72,10.4–18.3,22.0,11.8,7.5,38.4,32.3
1623,1501+,University of Sonora,"35,026",25.6,1%,56 : 44,10.4–18.3,14.5,8.1,9.7,36.9,26.8
1624,1501+,Sophia University,"13,402",11.8,12%,60 : 40,10.4–18.3,20.3,10.0,9.1,37.5,47.2
1625,1501+,State University of Ponta Grossa,"8,453",9.1,1%,55 : 45,10.4–18.3,20.7,9.9,18.2,37.1,22.8
1626,1501+,State University of Santa Cruz,"6,887",9.4,1%,56 : 44,10.4–18.3,21.3,9.2,17.1,37.3,28.7
1627,1501+,Süleyman Demirel University,"41,032",34.8,5%,50 : 50,10.4–18.3,15.8,9.1,23.2,37.3,22.9
1628,1501+,Universitas Sumatera Utara,"36,146",21.1,2%,54 : 46,10.4–18.3,15.4,9.9,25.1,38.0,22.0
1629,1501+,Tamil Nadu Agricultural University,"6,724",8.7,0%,62 : 38,10.4–18.3,25.2,10.3,2.0,41.5,15.0
1630,1501+,Technical University of Cluj-Napoca,"18,649",20.5,2%,38 : 62,10.4–18.3,15.6,12.0,19.5,39.1,23.0
1631,1501+,Technical University of Liberec,"5,222",11.5,11%,52 : 48,10.4–18.3,20.2,15.4,7.7,44.0,43.3
1632,1501+,Technical University of Loja,"51,567",33.4,1%,56 : 44,10.4–18.3,11.6,7.8,10.2,37.1,51.8
1633,1501+,Technical University of Sofia,"10,339",11.6,9%,27 : 73,10.4–18.3,17.5,8.3,8.0,39.3,26.1
1634,1501+,Universidade Tecnológica Federal do Paraná (UTFPR),"33,484",12.8,1%,35 : 65,10.4–18.3,16.4,10.1,12.6,37.4,22.1
1635,1501+,Universiti Teknologi MARA,"60,563",16.0,1%,67 : 33,10.4–18.3,19.0,13.2,10.4,37.5,20.9
1636,1501+,Telkom University,"18,977",18.2,1%,43 : 57,10.4–18.3,14.1,10.5,20.3,40.5,29.4
1637,1501+,Temuco Catholic University,"10,629",12.3,1%,60 : 40,10.4–18.3,16.0,10.1,7.9,38.3,41.5
1638,1501+,Tokyo University of Agriculture,"12,907",32.7,1%,43 : 57,10.4–18.3,15.8,10.1,15.3,38.7,21.3
1639,1501+,Tokyo City University,"7,415",15.5,2%,24 : 76,10.4–18.3,16.3,10.3,5.1,46.6,23.0
1640,1501+,Tokyo Denki University,"9,846",28.5,3%,13 : 87,10.4–18.3,15.0,9.6,1.7,40.2,19.5
1641,1501+,Tokyo University of Pharmacy and Life Sciences,"3,853",18.9,1%,52 : 48,10.4–18.3,17.5,7.8,11.2,38.0,18.4
1642,1501+,Toyo University,"30,465",24.2,6%,43 : 57,10.4–18.3,14.4,9.0,4.8,37.9,30.9
1643,1501+,University of Tunis,"16,418",12.8,2%,68 : 32,10.4–18.3,20.5,9.6,14.7,37.0,38.2
1644,1501+,Universiti Malaysia Sabah (UMS),"17,068",19.0,4%,67 : 33,10.4–18.3,16.3,12.6,16.5,37.5,40.1
1645,1501+,Uşak University,"20,902",38.1,11%,47 : 53,10.4–18.3,12.3,10.0,10.5,39.1,28.2
1646,1501+,Utsunomiya University,"4,829",14.1,4%,37 : 63,10.4–18.3,19.0,11.6,3.0,40.2,24.5
1647,1501+,University of Valparaíso,"16,371",18.3,2%,58 : 42,10.4–18.3,15.5,11.4,18.6,37.0,47.8
1648,1501+,Van Yüzüncü Yil University,"20,523",17.0,3%,44 : 56,10.4–18.3,17.4,22.7,10.4,61.0,19.4
1649,1501+,Vietnam National University (Ho Chi Minh City),"75,704",21.7,1%,46 : 54,10.4–18.3,15.1,10.1,20.7,41.5,35.6
1650,1501+,Walailak University,"8,553",13.3,1%,73 : 27,10.4–18.3,17.7,10.6,14.5,37.2,36.0
1651,1501+,University of Warmia and Mazury in Olsztyn,"17,690",17.7,2%,59 : 41,10.4–18.3,16.8,12.2,20.6,39.2,21.4
1652,1501+,University of West Attica,"34,530",33.6,0%,49 : 51,10.4–18.3,12.0,9.8,22.8,37.3,26.0
1653,1501+,West University of Timişoara,"14,527",24.6,6%,66 : 34,10.4–18.3,18.7,13.4,16.8,37.7,28.7
1654,1501+,Wrocław University of Science and Technology,"23,657",20.3,6%,35 : 65,10.4–18.3,17.9,16.0,14.9,45.5,27.3
1655,1501+,Yamaguchi University,"10,724",11.1,7%,38 : 62,10.4–18.3,21.3,12.3,13.9,43.8,30.4
1656,1501+,Yanshan University,"38,649",13.2,1%,39 : 61,10.4–18.3,17.2,10.9,18.3,46.9,17.0
1657,1501+,Yeditepe University,"17,038",28.2,5%,55 : 45,10.4–18.3,18.8,12.2,10.5,65.7,29.6
1658,Reporter,University Abdelhamid Ibn Badis Mostaganem,"24,493",19.3,1%,67 : 33,,,,,,
1659,Reporter,Abdullah Gül University,"2,509",20.1,9%,43 : 57,,,,,,
1660,Reporter,Abertay University,"4,010",21.7,22%,48 : 52,,,,,,
1661,Reporter,"Adamawa State University, Mubi","17,840",70.0,0%,35 : 65,,,,,,
1662,Reporter,AECC University College,615,15.4,43%,47 : 53,,,,,,
1663,Reporter,Afe Babalola University,"9,085",11.1,1%,59 : 41,,,,,,
1664,Reporter,Aga Khan University,"1,356",2.3,1%,65 : 35,,,,,,
1665,Reporter,Ahl Al Bayt University,"2,879",14.3,1%,51 : 49,,,,,,
1666,Reporter,Aichi Prefectural University,"3,302",15.2,1%,72 : 28,,,,,,
1667,Reporter,Air University,"6,404",15.2,0%,32 : 68,,,,,,
1668,Reporter,Ajeenkya DY Patil University,"2,793",16.4,0%,24 : 76,,,,,,
1669,Reporter,Tashkent Metropolitan University,317,22.6,5%,51 : 49,,,,,,
1670,Reporter,Ajman University,"5,050",16.4,82%,59 : 41,,,,,,
1671,Reporter,Akita Prefectural University,"1,826",8.5,1%,26 : 74,,,,,,
1672,Reporter,Akwa Ibom State University,"10,026",20.7,0%,42 : 58,,,,,,
1673,Reporter,Al-Ayen University,"11,000",51.2,0%,66 : 34,,,,,,
1674,Reporter,Alex Ekwueme Federal University Ndufu-Alike,"12,962",16.8,0%,52 : 48,,,,,,
1675,Reporter,Al-Ahliyya Amman University,"4,192",11.8,57%,50 : 50,,,,,,
1676,Reporter,Al-Farabi University College,"4,309",16.0,0%,36 : 64,,,,,,
1677,Reporter,Al-Farahidi University,"17,080",65.9,0%,47 : 53,,,,,,
1678,Reporter,Al-Esraa University College,"16,150",22.2,0%,,,,,,,
1679,Reporter,University of Al-Hamdaniya,"2,302",26.5,0%,32 : 68,,,,,,
1680,Reporter,Alisher Navo’i Tashkent State University of Uzbek Language and Literature,"3,614",12.9,6%,82 : 18,,,,,,
1681,Reporter,Al-Kitab University,"7,206",16.9,0%,32 : 68,,,,,,
1682,Reporter,Al-Maarif University College,"6,000",17.6,1%,60 : 40,,,,,,
1683,Reporter,Al-Manara College for Medical Sciences,"4,538",30.9,0%,47 : 53,,,,,,
1684,Reporter,Al-Muthanna University,"15,591",23.1,0%,55 : 45,,,,,,
1685,Reporter,Al-Nahrain University,"5,716",6.2,0%,49 : 51,,,,,,
1686,Reporter,Al-Noor University College,"6,454",40.6,0%,62 : 38,,,,,,
1687,Reporter,Al-Quds University,"12,170",12.3,6%,62 : 38,,,,,,
1688,Reporter,Altınbaş University,"8,204",13.7,47%,41 : 59,,,,,,
1689,Reporter,American International University – Bangladesh,"10,738",26.6,0%,24 : 76,,,,,,
1690,Reporter,American University of Madaba,"1,685",17.9,26%,47 : 53,,,,,,
1691,Reporter,American University of Nigeria,"1,100",10.1,2%,49 : 51,,,,,,
1692,Reporter,American University of Ras Al Khaimah,784,8.1,63%,50 : 50,,,,,,
1693,Reporter,"Amity University, Gurugram","5,695",14.8,2%,40 : 60,,,,,,
1694,Reporter,"Amity University, Gwalior","2,160",12.6,0%,43 : 57,,,,,,
1695,Reporter,"Amity University Rajasthan, Jaipur","2,971",12.5,0%,33 : 67,,,,,,
1696,Reporter,"Amity University, Mumbai","4,358",22.7,0%,48 : 52,,,,,,
1697,Reporter,Andijan State Medical Institute,"6,831",9.5,5%,47 : 53,,,,,,
1698,Reporter,Andrés Bello Catholic University (UCAB),"10,857",17.8,1%,50 : 50,,,,,,
1699,Reporter,Anglo-American University,620,12.7,80%,40 : 60,,,,,,
1700,Reporter,Ankara Science University,393,9.6,19%,62 : 38,,,,,,
1701,Reporter,Arab American University,"12,070",31.1,44%,58 : 42,,,,,,
1702,Reporter,Arab Open University – Kuwait,"9,139",103.9,64%,57 : 43,,,,,,
1703,Reporter,Arab Open University Lebanon,"1,754",13.3,14%,47 : 53,,,,,,
1704,Reporter,Arts University Bournemouth,"3,310",14.1,21%,69 : 31,,,,,,
1705,Reporter,Antonio Nariño University,"13,359",17.9,1%,53 : 47,,,,,,
1706,Reporter,University of the Arts London,"17,930",12.8,60%,76 : 24,,,,,,
1707,Reporter,Arts University Plymouth,"1,215",12.2,9%,72 : 28,,,,,,
1708,Reporter,Asahi University,"2,607",8.7,5%,33 : 67,,,,,,
1709,Reporter,Ashikaga University,"1,572",19.9,15%,25 : 75,,,,,,
1710,Reporter,Ashur University,"1,059",8.1,0%,59 : 41,,,,,,
1711,Reporter,Audencia,"5,838",38.7,31%,52 : 48,,,,,,
1712,Reporter,Augustine University,238,3.7,0%,40 : 60,,,,,,
1713,Reporter,Azerbaijan University of Architecture and Construction,"9,846",18.9,3%,22 : 78,,,,,,
1714,Reporter,Azerbaijan State University of Economics,"17,328",11.8,2%,51 : 49,,,,,,
1715,Reporter,Babcock University,"12,340",18.8,0%,53 : 47,,,,,,
1716,Reporter,Badr University in Cairo (BUC),"14,021",20.7,2%,55 : 45,,,,,,
1717,Reporter,Bakrie University,"3,219",33.9,0%,57 : 43,,,,,,
1718,Reporter,"Balochistan University of Engineering and Technology, Khuzdar","2,990",15.0,%,7 : 93,,,,,,
1719,Reporter,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti","4,329",14.9,0%,60 : 40,,,,,,
1720,Reporter,Bandirma Onyedi Eylül University,"15,473",47.0,7%,45 : 55,,,,,,
1721,Reporter,Bangabandhu Sheikh Mujibur Rahman Agricultural University,"1,760",8.4,3%,53 : 47,,,,,,
1722,Reporter,Barawa International University,"13,200",35.3,3%,33 : 67,,,,,,
1723,Reporter,Bartin University,"10,317",23.7,9%,44 : 56,,,,,,
1724,Reporter,Bath Spa University,"6,555",17.7,11%,68 : 32,,,,,,
1725,Reporter,University of Batna 1,"32,179",28.1,0%,64 : 36,,,,,,
1726,Reporter,Baze University,"1,790",5.2,0%,50 : 50,,,,,,
1727,Reporter,University of Benghazi,"76,419",16.3,2%,58 : 42,,,,,,
1728,Reporter,Benson Idahosa University,"3,859",16.6,0%,50 : 50,,,,,,
1729,Reporter,Bernardo O’Higgins University,"7,554",18.1,4%,66 : 34,,,,,,
1730,Reporter,Beykent University,"22,103",25.4,4%,47 : 53,,,,,,
1731,Reporter,Bilecik Şeyh Edebali University,"10,434",18.2,8%,42 : 58,,,,,,
1732,Reporter,Biruni University,"5,111",16.9,7%,72 : 28,,,,,,
1733,Reporter,Birzeit University,"11,486",17.5,5%,63 : 37,,,,,,
1734,Reporter,University of Bisha,"13,919",11.8,1%,66 : 34,,,,,,
1735,Reporter,Bishop Grosseteste University,"2,010",21.2,4%,79 : 21,,,,,,
1736,Reporter,University of Bogotá Jorge Tadeo Lozano,"7,704",18.6,1%,55 : 45,,,,,,
1737,Reporter,University of Bolton,"5,400",14.6,33%,61 : 39,,,,,,
1738,Reporter,Botswana International University of Science and Technology (BIUST),"2,006",11.4,1%,22 : 78,,,,,,
1739,Reporter,Bowen University,"4,161",12.0,0%,58 : 42,,,,,,
1740,Reporter,Buckinghamshire New University,"5,290",17.3,32%,60 : 40,,,,,,
1741,Reporter,Buriram Rajabhat University,"11,197",26.2,0%,53 : 47,,,,,,
1742,Reporter,Canadian International College (CIC) – Cairo,"9,494",39.4,2%,32 : 68,,,,,,
1743,Reporter,Catholic University in Erbil,152,3.6,0%,58 : 42,,,,,,
1744,Reporter,Universidad Católica de Colombia,"10,671",27.2,0%,50 : 50,,,,,,
1745,Reporter,B. S. Abdur Rahman Crescent Institute of Science and Technology,"7,046",15.7,0%,24 : 76,,,,,,
1746,Reporter,Universidad Católica de Cuenca,"16,046",20.6,2%,57 : 43,,,,,,
1747,Reporter,Universidad Católica San Pablo,"8,793",32.5,0%,53 : 47,,,,,,
1748,Reporter,Cebu Technological University,"39,726",33.3,0%,50 : 50,,,,,,
1749,Reporter,CECOS University of IT and Emerging Sciences,"2,405",13.0,0%,11 : 89,,,,,,
1750,Reporter,University of Celaya,"1,993",14.0,2%,50 : 50,,,,,,
1751,Reporter,Central European University,"1,276",7.6,83%,55 : 45,,,,,,
1752,Reporter,University of Central Punjab,"16,948",32.8,0%,36 : 64,,,,,,
1753,Reporter,Centro Universitário de Jaguariúna,"9,839",25.8,0%,58 : 42,,,,,,
1754,Reporter,Centro Universitário Max Planck,"5,150",16.0,0%,61 : 39,,,,,,
1755,Reporter,CES University,"6,348",13.5,3%,70 : 30,,,,,,
1756,Reporter,César Ritz Colleges Switzerland,547,4.8,99%,49 : 51,,,,,,
1757,Reporter,CETYS Universidad,"4,960",9.6,13%,52 : 48,,,,,,
1758,Reporter,Chernihiv Polytechnic National University,"5,914",20.5,0%,42 : 58,,,,,,
1759,Reporter,University of Chichester,"4,180",14.7,7%,62 : 38,,,,,,
1760,Reporter,Chitkara University,"12,895",15.5,3%,40 : 60,,,,,,
1761,Reporter,Christ University Bengaluru India,"23,637",20.2,2%,48 : 52,,,,,,
1762,Reporter,Conservatoire for Dance and Drama,940,10.4,35%,70 : 30,,,,,,
1763,Reporter,University of Constantine 3,"14,736",16.2,2%,73 : 27,,,,,,
1764,Reporter,Courtauld Institute of Art,510,12.8,51%,82 : 18,,,,,,
1765,Reporter,Cranfield University,"3,135",7.8,68%,30 : 70,,,,,,
1766,Reporter,Cihan University – Erbil,"4,457",23.3,1%,43 : 57,,,,,,
1767,Reporter,University for the Creative Arts,"5,345",18.8,35%,67 : 33,,,,,,
1768,Reporter,"City University of Science and Information Technology, Peshawar","4,163",21.3,2%,15 : 85,,,,,,
1769,Reporter,Cross River University of Technology,"18,915",40.2,0%,36 : 64,,,,,,
1770,Reporter,University of Cumbria,"5,275",15.7,10%,70 : 30,,,,,,
1771,Reporter,C.V. Raman Global University,"6,991",15.8,4%,29 : 71,,,,,,
1772,Reporter,Cyprus Health and Social Sciences University,"2,354",35.1,75%,45 : 55,,,,,,
1773,Reporter,Daffodil International University (DIU),"16,157",21.1,3%,34 : 66,,,,,,
1774,Reporter,Debre Tabor University,"8,414",7.4,0%,41 : 59,,,,,,
1775,Reporter,Universidad del Sinú,"4,350",25.6,0%,57 : 43,,,,,,
1776,Reporter,Delta University for Science and Technology,"8,780",16.9,0%,48 : 52,,,,,,
1777,Reporter,Deraya University,"4,275",18.9,0%,58 : 42,,,,,,
1778,Reporter,Dhaka International University,"6,033",29.9,8%,17 : 83,,,,,,
1779,Reporter,Dhofar University,"3,122",17.8,6%,56 : 44,,,,,,
1780,Reporter,Dhonburi Rajabhat University,"4,210",16.1,1%,61 : 39,,,,,,
1781,Reporter,Dijlah University,"8,864",28.5,0%,43 : 57,,,,,,
1782,Reporter,University of Diyala,"29,461",17.9,0%,54 : 46,,,,,,
1783,Reporter,Denau Institute of Entrepreneurship and Pedagogy,"5,247",21.9,0%,63 : 37,,,,,,
1784,Reporter,Doğuş University,"9,149",30.2,1%,40 : 60,,,,,,
1785,Reporter,Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET),"1,068",18.4,2%,60 : 40,,,,,,
1786,Reporter,University of Dubai,"1,147",27.3,24%,29 : 71,,,,,,
1787,Reporter,DHA Suffa University,"1,807",14.5,0%,15 : 85,,,,,,
1788,Reporter,University of Duhok,"23,662",13.5,0%,52 : 48,,,,,,
1789,Reporter,EAN University,"10,000",142.9,0%,,,,,,,
1790,Reporter,Ebonyi State University,"25,204",27.5,0%,50 : 50,,,,,,
1791,Reporter,University of El Oued,"29,028",33.1,0%,59 : 41,,,,,,
1792,Reporter,École Nationale Polytechnique,"1,489",8.7,0%,46 : 54,,,,,,
1793,Reporter,École Polytechnique d’Architecture et d’Urbanisme,"1,371",10.1,0%,69 : 31,,,,,,
1794,Reporter,Academy of Economic Studies of Moldova,"5,525",25.3,1%,53 : 47,,,,,,
1795,Reporter,Edo State University Uzairue,"1,489",9.5,0%,52 : 48,,,,,,
1796,Reporter,"University of Education, Lahore","27,105",33.1,0%,51 : 49,,,,,,
1797,Reporter,Effat University,"1,067",9.4,26%,99 : 1,,,,,,
1798,Reporter,Egerton University,"20,472",40.1,1%,43 : 57,,,,,,
1799,Reporter,Egyptian Russian University,"6,237",13.6,2%,39 : 61,,,,,,
1800,Reporter,Egypt-Japan University of Science and Technology (E-JUST),539,6.7,3%,33 : 67,,,,,,
1801,Reporter,"University of Engineering and Technology, Mardan","1,208",21.6,1%,5 : 95,,,,,,
1802,Reporter,ESIC University,"6,123",19.4,10%,46 : 54,,,,,,
1803,Reporter,Universidade Estadual de Goiás,"19,519",15.4,0%,66 : 34,,,,,,
